Dataset wide:45(20210119)
Dwell Time (s)	0.100000
Number of sweeps	1
Kinetic Energy(eV)	Binding Energy(eV)	Intensity(cps)	Transmission Value
611.690000	875.000000	45990.000000	7.598773
612.690000	874.000000	46380.000000	7.604876
613.690000	873.000000	47110.000000	7.610979
614.690000	872.000000	46670.000000	7.617082
615.690000	871.000000	46880.000000	7.623185
616.690000	870.000000	48310.000000	7.629288
617.690000	869.000000	47660.000000	7.635391
618.690000	868.000000	48030.000000	7.641494
619.690000	867.000000	47050.000000	7.647597
620.690000	866.000000	47770.000000	7.653701
621.690000	865.000000	48370.000000	7.659804
622.690000	864.000000	48410.000000	7.665907
623.690000	863.000000	48290.000000	7.672010
624.690000	862.000000	48270.000000	7.678113
625.690000	861.000000	48470.000000	7.684216
626.690000	860.000000	49420.000000	7.690319
627.690000	859.000000	49480.000000	7.696422
628.690000	858.000000	48830.000000	7.702525
629.690000	857.000000	48260.000000	7.708628
630.690000	856.000000	48370.000000	7.714732
631.690000	855.000000	48950.000000	7.720835
632.690000	854.000000	50040.000000	7.726938
633.690000	853.000000	49390.000000	7.733041
634.690000	852.000000	49770.000000	7.739144
635.690000	851.000000	49380.000000	7.745247
636.690000	850.000000	49130.000000	7.751350
637.690000	849.000000	48190.000000	7.757453
638.690000	848.000000	48970.000000	7.763556
639.690000	847.000000	49850.000000	7.769659
640.690000	846.000000	50460.000000	7.775763
641.690000	845.000000	48670.000000	7.781866
642.690000	844.000000	49570.000000	7.787969
643.690000	843.000000	50660.000000	7.794072
644.690000	842.000000	50750.000000	7.800175
645.690000	841.000000	51300.000000	7.806278
646.690000	840.000000	50560.000000	7.812381
647.690000	839.000000	51130.000000	7.818484
648.690000	838.000000	50890.000000	7.824587
649.690000	837.000000	51030.000000	7.830690
650.690000	836.000000	50580.000000	7.836794
651.690000	835.000000	51350.000000	7.842897
652.690000	834.000000	51450.000000	7.849000
653.690000	833.000000	51400.000000	7.855103
654.690000	832.000000	51650.000000	7.861206
655.690000	831.000000	50890.000000	7.867309
656.690000	830.000000	51340.000000	7.873412
657.690000	829.000000	52050.000000	7.879515
658.690000	828.000000	51380.000000	7.885618
659.690000	827.000000	52110.000000	7.891721
660.690000	826.000000	51190.000000	7.897825
661.690000	825.000000	51970.000000	7.903928
662.690000	824.000000	52970.000000	7.910031
663.690000	823.000000	53000.000000	7.916134
664.690000	822.000000	53500.000000	7.922237
665.690000	821.000000	52480.000000	7.926931
666.690000	820.000000	51930.000000	7.931169
667.690000	819.000000	53000.000000	7.935407
668.690000	818.000000	53710.000000	7.939645
669.690000	817.000000	53700.000000	7.943883
670.690000	816.000000	53520.000000	7.948121
671.690000	815.000000	53790.000000	7.952358
672.690000	814.000000	54450.000000	7.956596
673.690000	813.000000	54130.000000	7.960834
674.690000	812.000000	53370.000000	7.965072
675.690000	811.000000	53540.000000	7.969310
676.690000	810.000000	54460.000000	7.973548
677.690000	809.000000	54480.000000	7.977786
678.690000	808.000000	53440.000000	7.982024
679.690000	807.000000	54230.000000	7.986262
680.690000	806.000000	54420.000000	7.990500
681.690000	805.000000	54630.000000	7.994738
682.690000	804.000000	54410.000000	7.998976
683.690000	803.000000	55700.000000	8.003214
684.690000	802.000000	55490.000000	8.007451
685.690000	801.000000	54960.000000	8.011689
686.690000	800.000000	54010.000000	8.015927
687.690000	799.000000	55300.000000	8.020165
688.690000	798.000000	55630.000000	8.024403
689.690000	797.000000	55600.000000	8.028641
690.690000	796.000000	55360.000000	8.032879
691.690000	795.000000	54500.000000	8.037117
692.690000	794.000000	55290.000000	8.041355
693.690000	793.000000	56030.000000	8.045593
694.690000	792.000000	56560.000000	8.049831
695.690000	791.000000	56270.000000	8.054069
696.690000	790.000000	56620.000000	8.058307
697.690000	789.000000	55820.000000	8.062544
698.690000	788.000000	55690.000000	8.066782
699.690000	787.000000	56410.000000	8.071020
700.690000	786.000000	56740.000000	8.075258
701.690000	785.000000	57550.000000	8.079496
702.690000	784.000000	57840.000000	8.083734
703.690000	783.000000	56290.000000	8.087972
704.690000	782.000000	55370.000000	8.092210
705.690000	781.000000	57340.000000	8.096448
706.690000	780.000000	57620.000000	8.100686
707.690000	779.000000	57510.000000	8.104924
708.690000	778.000000	56470.000000	8.109162
709.690000	777.000000	57040.000000	8.113400
710.690000	776.000000	58070.000000	8.117637
711.690000	775.000000	58000.000000	8.121875
712.690000	774.000000	57820.000000	8.126113
713.690000	773.000000	57850.000000	8.130351
714.690000	772.000000	58280.000000	8.134589
715.690000	771.000000	58400.000000	8.138827
716.690000	770.000000	58010.000000	8.143065
717.690000	769.000000	59170.000000	8.147303
718.690000	768.000000	58740.000000	8.151541
719.690000	767.000000	58330.000000	8.155779
720.690000	766.000000	58060.000000	8.160017
721.690000	765.000000	58080.000000	8.164255
722.690000	764.000000	59060.000000	8.168493
723.690000	763.000000	60010.000000	8.172730
724.690000	762.000000	60210.000000	8.176968
725.690000	761.000000	59970.000000	8.181206
726.690000	760.000000	59860.000000	8.185444
727.690000	759.000000	60470.000000	8.189682
728.690000	758.000000	60440.000000	8.193920
729.690000	757.000000	61120.000000	8.198158
730.690000	756.000000	60230.000000	8.202396
731.690000	755.000000	59680.000000	8.206634
732.690000	754.000000	60370.000000	8.210872
733.690000	753.000000	60430.000000	8.215110
734.690000	752.000000	61460.000000	8.219348
735.690000	751.000000	60660.000000	8.223586
736.690000	750.000000	61300.000000	8.227823
737.690000	749.000000	61720.000000	8.232061
738.690000	748.000000	60700.000000	8.236299
739.690000	747.000000	60150.000000	8.240537
740.690000	746.000000	60510.000000	8.244775
741.690000	745.000000	62280.000000	8.249013
742.690000	744.000000	61690.000000	8.253251
743.690000	743.000000	62000.000000	8.257489
744.690000	742.000000	62600.000000	8.261727
745.690000	741.000000	62150.000000	8.265965
746.690000	740.000000	62200.000000	8.270203
747.690000	739.000000	62630.000000	8.274441
748.690000	738.000000	63450.000000	8.278679
749.690000	737.000000	63760.000000	8.282917
750.690000	736.000000	62360.000000	8.287154
751.690000	735.000000	63140.000000	8.291392
752.690000	734.000000	63050.000000	8.295630
753.690000	733.000000	63470.000000	8.299868
754.690000	732.000000	64700.000000	8.304106
755.690000	731.000000	63800.000000	8.308344
756.690000	730.000000	64120.000000	8.312582
757.690000	729.000000	63390.000000	8.316820
758.690000	728.000000	64300.000000	8.321058
759.690000	727.000000	64910.000000	8.325296
760.690000	726.000000	64720.000000	8.329534
761.690000	725.000000	64370.000000	8.333772
762.690000	724.000000	64660.000000	8.338010
763.690000	723.000000	64670.000000	8.342247
764.690000	722.000000	65150.000000	8.346485
765.690000	721.000000	65590.000000	8.350723
766.690000	720.000000	67120.000000	8.354961
767.690000	719.000000	65660.000000	8.359199
768.690000	718.000000	64510.000000	8.363437
769.690000	717.000000	66090.000000	8.367675
770.690000	716.000000	66790.000000	8.371913
771.690000	715.000000	66650.000000	8.376151
772.690000	714.000000	66960.000000	8.380389
773.690000	713.000000	67290.000000	8.384627
774.690000	712.000000	66990.000000	8.388865
775.690000	711.000000	67500.000000	8.393103
776.690000	710.000000	66920.000000	8.397340
777.690000	709.000000	66840.000000	8.401578
778.690000	708.000000	66460.000000	8.405816
779.690000	707.000000	67940.000000	8.410054
780.690000	706.000000	67960.000000	8.414292
781.690000	705.000000	67850.000000	8.418530
782.690000	704.000000	68290.000000	8.422768
783.690000	703.000000	68520.000000	8.427006
784.690000	702.000000	68460.000000	8.431244
785.690000	701.000000	68780.000000	8.435482
786.690000	700.000000	69360.000000	8.439720
787.690000	699.000000	68640.000000	8.443958
788.690000	698.000000	68730.000000	8.448196
789.690000	697.000000	68330.000000	8.452433
790.690000	696.000000	69590.000000	8.456671
791.690000	695.000000	69550.000000	8.460909
792.690000	694.000000	70090.000000	8.465147
793.690000	693.000000	68820.000000	8.469385
794.690000	692.000000	71160.000000	8.473623
795.690000	691.000000	71110.000000	8.477861
796.690000	690.000000	70990.000000	8.482099
797.690000	689.000000	70890.000000	8.486337
798.690000	688.000000	72090.000000	8.490575
799.690000	687.000000	71770.000000	8.494813
800.690000	686.000000	71310.000000	8.499051
801.690000	685.000000	71660.000000	8.503289
802.690000	684.000000	71830.000000	8.507526
803.690000	683.000000	72740.000000	8.511764
804.690000	682.000000	73630.000000	8.516002
805.690000	681.000000	72800.000000	8.520240
806.690000	680.000000	74210.000000	8.524478
807.690000	679.000000	73100.000000	8.528716
808.690000	678.000000	72490.000000	8.532954
809.690000	677.000000	71750.000000	8.537192
810.690000	676.000000	73350.000000	8.541430
811.690000	675.000000	73940.000000	8.545668
812.690000	674.000000	75170.000000	8.549906
813.690000	673.000000	75010.000000	8.554144
814.690000	672.000000	74520.000000	8.558382
815.690000	671.000000	74730.000000	8.562620
816.690000	670.000000	75870.000000	8.566857
817.690000	669.000000	74480.000000	8.571095
818.690000	668.000000	76270.000000	8.575333
819.690000	667.000000	75760.000000	8.579571
820.690000	666.000000	76220.000000	8.583809
821.690000	665.000000	76350.000000	8.588047
822.690000	664.000000	76900.000000	8.592285
823.690000	663.000000	77830.000000	8.596523
824.690000	662.000000	78980.000000	8.600761
825.690000	661.000000	77150.000000	8.604999
826.690000	660.000000	75860.000000	8.609237
827.690000	659.000000	77180.000000	8.613475
828.690000	658.000000	77260.000000	8.617713
829.690000	657.000000	78460.000000	8.621950
830.690000	656.000000	78550.000000	8.626188
831.690000	655.000000	78220.000000	8.630426
832.690000	654.000000	79140.000000	8.634664
833.690000	653.000000	76750.000000	8.638902
834.690000	652.000000	77500.000000	8.643140
835.690000	651.000000	79180.000000	8.647378
836.690000	650.000000	81440.000000	8.651616
837.690000	649.000000	81770.000000	8.655854
838.690000	648.000000	81940.000000	8.660092
839.690000	647.000000	80820.000000	8.664330
840.690000	646.000000	79940.000000	8.668568
841.690000	645.000000	80740.000000	8.672806
842.690000	644.000000	81340.000000	8.677043
843.690000	643.000000	80080.000000	8.681281
844.690000	642.000000	79160.000000	8.685519
845.690000	641.000000	79360.000000	8.689757
846.690000	640.000000	80900.000000	8.693995
847.690000	639.000000	81440.000000	8.698233
848.690000	638.000000	81680.000000	8.702471
849.690000	637.000000	82750.000000	8.706709
850.690000	636.000000	83390.000000	8.710947
851.690000	635.000000	81170.000000	8.715185
852.690000	634.000000	83240.000000	8.719423
853.690000	633.000000	83770.000000	8.723661
854.690000	632.000000	81500.000000	8.727899
855.690000	631.000000	82280.000000	8.732136
856.690000	630.000000	82060.000000	8.736374
857.690000	629.000000	83040.000000	8.740612
858.690000	628.000000	83740.000000	8.744850
859.690000	627.000000	83610.000000	8.749088
860.690000	626.000000	82950.000000	8.753326
861.690000	625.000000	83410.000000	8.757564
862.690000	624.000000	83660.000000	8.761802
863.690000	623.000000	83830.000000	8.766040
864.690000	622.000000	83670.000000	8.770278
865.690000	621.000000	83590.000000	8.774516
866.690000	620.000000	86130.000000	8.778754
867.690000	619.000000	85670.000000	8.782992
868.690000	618.000000	87200.000000	8.787229
869.690000	617.000000	85630.000000	8.791467
870.690000	616.000000	86020.000000	8.795705
871.690000	615.000000	85920.000000	8.799943
872.690000	614.000000	85510.000000	8.804181
873.690000	613.000000	86090.000000	8.808419
874.690000	612.000000	86870.000000	8.812657
875.690000	611.000000	87730.000000	8.816895
876.690000	610.000000	87310.000000	8.821133
877.690000	609.000000	87580.000000	8.825371
878.690000	608.000000	90120.000000	8.829609
879.690000	607.000000	90550.000000	8.833847
880.690000	606.000000	91090.000000	8.838085
881.690000	605.000000	93590.000000	8.842323
882.690000	604.000000	94120.000000	8.846560
883.690000	603.000000	94140.000000	8.850798
884.690000	602.000000	91430.000000	8.855036
885.690000	601.000000	91500.000000	8.859274
886.690000	600.000000	91770.000000	8.863512
887.690000	599.000000	91890.000000	8.866119
888.690000	598.000000	92660.000000	8.868583
889.690000	597.000000	94500.000000	8.871047
890.690000	596.000000	92800.000000	8.873510
891.690000	595.000000	90660.000000	8.875974
892.690000	594.000000	87370.000000	8.878437
893.690000	593.000000	86720.000000	8.880901
894.690000	592.000000	84560.000000	8.883364
895.690000	591.000000	82450.000000	8.885828
896.690000	590.000000	82540.000000	8.888291
897.690000	589.000000	80970.000000	8.890755
898.690000	588.000000	81380.000000	8.893219
899.690000	587.000000	83140.000000	8.895682
900.690000	586.000000	80610.000000	8.898146
901.690000	585.000000	81890.000000	8.900609
902.690000	584.000000	81540.000000	8.903073
903.690000	583.000000	82740.000000	8.905536
904.690000	582.000000	84510.000000	8.908000
905.690000	581.000000	84250.000000	8.910464
906.690000	580.000000	84420.000000	8.912927
907.690000	579.000000	85910.000000	8.915391
908.690000	578.000000	84840.000000	8.917854
909.690000	577.000000	83280.000000	8.920318
910.690000	576.000000	82990.000000	8.922781
911.690000	575.000000	80600.000000	8.925245
912.690000	574.000000	81420.000000	8.927708
913.690000	573.000000	81520.000000	8.930172
914.690000	572.000000	82290.000000	8.932636
915.690000	571.000000	82260.000000	8.935099
916.690000	570.000000	81880.000000	8.937563
917.690000	569.000000	79680.000000	8.940026
918.690000	568.000000	80880.000000	8.942490
919.690000	567.000000	80790.000000	8.944953
920.690000	566.000000	80280.000000	8.947417
921.690000	565.000000	81390.000000	8.949880
922.690000	564.000000	79980.000000	8.952344
923.690000	563.000000	82260.000000	8.954808
924.690000	562.000000	84910.000000	8.957271
925.690000	561.000000	85830.000000	8.959735
926.690000	560.000000	86220.000000	8.962198
927.690000	559.000000	87590.000000	8.964662
928.690000	558.000000	86710.000000	8.967125
929.690000	557.000000	84820.000000	8.969589
930.690000	556.000000	83110.000000	8.972053
931.690000	555.000000	79990.000000	8.974516
932.690000	554.000000	78160.000000	8.976980
933.690000	553.000000	76000.000000	8.979443
934.690000	552.000000	75340.000000	8.981907
